lab proto group dose1 dose2 body wet blot
Basf A 10  3.00  0.10    61.70    55.00    52.00
Basf A 10  3.00  0.10    57.30    53.00    49.00
Basf A 10  3.00  0.10    54.20    36.00    36.00
Basf A 10  3.00  0.10    55.30    60.00    60.00
Basf A 10  3.00  0.10    56.40    48.00    46.00
Basf A 11  3.00  1.00    59.60    23.00    21.00
Basf A 11  3.00  1.00    51.10    22.00    21.00
Basf A 11  3.00  1.00    52.00    27.00    27.00
Basf A 11  3.00  1.00    59.00    32.00    29.00
Basf A 11  3.00  1.00    58.70    27.00    27.00
Basf A 11  3.00  1.00    53.00    19.00    19.00
Bayer  A  1  0.00  0.00    41.00    50.00    49.00
Bayer  A  1  0.00  0.00    41.00    39.00    32.00
Bayer  A  1  0.00  0.00    37.00    32.00    31.00
Bayer  A  1  0.00  0.00    45.00    22.00    26.00
Bayer  A  1  0.00  0.00    38.00    35.00    33.00
Bayer  A  1  0.00  0.00    40.50    45.00    44.00
Bayer  A  2  0.00  0.00    38.40    35.00    34.00
Bayer  A  2  0.00  0.00    42.40    38.00    32.00
Bayer  A  2  0.00  0.00    46.10    42.00    40.00
Bayer  A  2  0.00  0.00    47.60    45.00    43.00
Bayer  A  2  0.00  0.00    39.20    35.00    33.00
Bayer  A  2  0.00  0.00    41.90    29.00    27.00
Bayer  A  5  0.10  0.00    40.10    45.00    41.00
Bayer  A  5  0.10  0.00    39.70    41.00    41.00
Bayer  A  5  0.10  0.00    42.00    37.00    36.00
Bayer  A  5  0.10  0.00    40.50    37.00    35.00
Bayer  A  5  0.10  0.00    37.00    32.00    31.00
Bayer  A  5  0.10  0.00    41.50    32.00    32.00
Bayer  A  6  0.30  0.00    38.90    33.00    32.00
Bayer  A  6  0.30  0.00    36.10    28.00    26.00
Bayer  A  6  0.30  0.00    41.80    34.00    29.00
Bayer  A  6  0.30  0.00    43.70    44.00    42.00
Bayer  A  6  0.30  0.00    36.00    33.00    32.00
Bayer  A  6  0.30  0.00    40.40    34.00    36.00
Bayer  A  7  1.00  0.00    38.40    46.00    45.00
Bayer  A  7  1.00  0.00    38.30    46.00    39.00
Bayer  A  7  1.00  0.00    41.40    43.00    43.00
Bayer  A  7  1.00  0.00    45.40    49.00    45.00
Bayer  A  7  1.00  0.00    27.70    37.00    36.00
Bayer  A  7  1.00  0.00    36.60    48.00    46.00
Bayer  A  8  3.00  0.00    39.60   101.00    80.00
Bayer  A  8  3.00  0.00    38.30    79.00    75.00
Bayer  A  8  3.00  0.00    38.50    85.00    78.00
Bayer  A  8  3.00  0.00    34.20    78.00    72.00
Bayer  A  8  3.00  0.00    39.70    75.00    71.00
Bayer  A  8  3.00  0.00    42.10    85.00    81.00
Bayer  A  9 10.00  0.00    44.40   200.00   136.00
Bayer  A  9 10.00  0.00    37.30   212.00   116.00
Bayer  A  9 10.00  0.00    40.30   254.00   136.00
Bayer  A  9 10.00  0.00    34.90   235.00   125.00
Bayer  A  9 10.00  0.00    45.40   263.00   150.00
Bayer  A  9 10.00  0.00    46.20   283.00   143.00
Bayer  A 10  3.00  0.10    46.10    64.00    63.00
Bayer  A 10  3.00  0.10    43.10    67.00    60.00
Bayer  A 10  3.00  0.10    45.80   124.00    99.00
Bayer  A 10  3.00  0.10    38.50   126.00    95.00
Bayer  A 10  3.00  0.10    37.00   103.00    81.00
Bayer  A 10  3.00  0.10    45.40   132.00   101.00
Bayer  A 11  3.00  1.00    41.90    39.00    38.00
Bayer  A 11  3.00  1.00    35.00    47.00    36.00
Bayer  A 11  3.00  1.00    39.10    41.00    39.00
Bayer  A 11  3.00  1.00    34.60    42.00    40.00
Bayer  A 11  3.00  1.00    40.80    44.00    42.00
Bayer  A 11  3.00  1.00    42.20    51.00    48.00
ChungKorea A  1  0.00  0.00   54.30   65.40   62.00
ChungKorea A  1  0.00  0.00   47.30   42.60   39.60
ChungKorea A  1  0.00  0.00   50.10   36.00   33.60
ChungKorea A  1  0.00  0.00   47.30   31.90   30.20
ChungKorea A  1  0.00  0.00   43.50   41.70   38.20
ChungKorea A  1  0.00  0.00   50.70   63.40   60.80
ChungKorea A  2  0.00  0.00   50.40   47.60   45.00
ChungKorea A  2  0.00  0.00   45.20   56.10   52.70
ChungKorea A  2  0.00  0.00   49.70   34.80   32.60
ChungKorea A  2  0.00  0.00   57.70   41.50   39.50
ChungKorea A  2  0.00  0.00   38.70   26.80   24.70
ChungKorea A  2  0.00  0.00   54.90   61.40   59.10
ChungKorea A  3  0.01  0.00   46.10   36.40   34.00
ChungKorea A  3  0.01  0.00   46.90   31.00   29.00
ChungKorea A  3  0.01  0.00   40.30   28.20   25.40
ChungKorea A  3  0.01  0.00   54.60   59.70   56.20
ChungKorea A  3  0.01  0.00   45.40   33.20   31.30
ChungKorea A  3  0.01  0.00   52.90   59.80   57.10
ChungKorea A  4  0.03  0.00   50.80   38.90   37.20
ChungKorea A  4  0.03  0.00   45.60   30.50   29.00
ChungKorea A  4  0.03  0.00   52.80   37.80   35.80
ChungKorea A  4  0.03  0.00   46.50   44.80   42.80
ChungKorea A  4  0.03  0.00   55.30   55.80   53.30
ChungKorea A  4  0.03  0.00   43.40   35.80   34.30
ChungKorea A  5  0.10  0.00   49.70   59.10   57.90
